,classified.subtype,classified.price,classified.land.surface,classified.bedroom.count,classified.atticExists,classified.outdoor.terrace.exists,classified.wellnessEquipment.hasSwimmingPool
600,house,259000,465,2,0,0,0
603,apartment block,235000,0,5,0,0,0
607,castle,4950000,14840,5,0,0,0
610,house,110000,343,5,0,1,0
611,apartment block,1300000,0,6,0,0,0
612,exceptional property,495000,207,3,1,1,0
614,castle,4950000,148400,5,0,1,0
617,farmhouse,695000,4266,4,1,1,0
619,house,129500,259,2,0,1,0
620,exceptional property,1250000,26769,5,1,1,0
621,house,275000,1234,3,0,0,0
622,house,348000,293,3,0,0,0
623,house,180000,70,3,0,1,0
625,house,99000,170,2,1,0,0
626,farmhouse,795000,3600,11,0,1,0
627,house,210000,285,3,0,0,0
628,house,60000,90,3,0,0,0
629,house,195000,384,4,0,1,0
632,villa,460000,1182,4,1,1,0
633,house,355000,645,3,1,1,0
635,house,1995000,0,4,0,1,1
636,house,795000,117,4,0,1,0
638,mixed use building,795000,117,4,0,1,0
639,house,972000,152,6,0,1,0
640,house,160000,209,3,0,0,0
641,house,99900,210,4,1,0,0
642,chalet,199000,736,4,0,0,0
643,house,115000,182,2,0,1,0
645,castle,3950000,153030,14,1,1,0
647,house,695000,0,2,0,1,0
648,house,349000,1280,2,0,0,0
649,house,469000,0,3,0,1,0
651,mixed use building,245000,449,2,0,1,0
652,apartment block,1169000,195,8,0,1,0
653,apartment block,300000,623,1,0,0,0
656,apartment block,679000,264,5,0,0,0
658,apartment block,410000,422,4,0,0,0
660,house,679000,264,5,0,0,0
661,house,200000,0,4,0,0,0
662,house,398000,362,2,0,0,0
663,house,945000,146,4,1,1,0
664,house,115000,138,3,0,1,0
665,villa,620000,343,5,1,1,0
667,house,100000,0,3,0,0,0
669,house,287000,241,3,0,1,0
670,villa,1090000,6372,3,0,1,0
671,villa,1250000,2208,4,0,1,0
672,villa,520000,1148,4,0,1,0
673,house,275283,294,3,0,0,0
674,house,128000,111,3,0,1,0
676,castle,3950000,153030,14,1,1,0
678,castle,3950000,153030,14,1,1,0
680,house,510000,1538,3,1,1,0
681,house,245000,329,3,1,1,0
682,house,180000,387,3,0,0,0
683,apartment block,545000,0,5,0,0,0
687,house,219000,212,2,1,1,0
689,mansion,1090000,0,3,0,1,0
691,house,235000,0,5,0,0,0
693,house,95000,89,2,0,1,0
694,house,109000,230,2,0,1,0
696,house,245000,597,3,0,1,0
697,house,145000,247,2,1,1,0
698,house,255000,240,3,1,1,0
699,exceptional property,2350000,170,5,0,1,0
700,exceptional property,720000,1000,4,1,1,0
701,house,426454,250,3,0,0,0
702,apartment block,800000,87,5,0,1,0
704,house,595000,1130,5,1,0,0
705,villa,1650000,838,4,1,1,0
706,apartment block,600000,0,3,0,1,0
708,apartment block,610000,1020,9,0,0,0
710,exceptional property,2450000,3000,8,1,1,1
712,house,330000,3390,3,0,1,1
713,villa,1775000,350,8,0,1,0
714,town house,495000,245,6,0,1,0
715,house,420000,0,4,0,0,0
716,house,299900,514,3,0,1,0
719,house,749000,175,3,0,1,0
720,house,475000,992,4,0,0,0
722,villa,260000,260,3,0,1,1
723,house,1850000,3565,7,1,1,0
724,house,340400,227,3,0,0,0
725,house,331200,157,3,0,0,0
726,house,340400,159,3,0,0,0
727,house,455000,139,4,0,0,0
728,villa,348000,273,2,1,1,0
729,house,349000,280,3,0,1,0
730,house,375000,74,4,0,1,0
731,exceptional property,1125000,1500,6,1,1,1
732,exceptional property,1125000,1500,6,1,1,1
733,house,245748,2800,2,0,1,0
735,house,75000,156,3,0,0,0
736,exceptional property,4850000,13490,10,0,0,1
738,house,359000,511,3,0,0,0
741,house,550000,3000,4,0,1,0
743,house,995000,249,6,1,0,0
744,apartment block,649000,170,4,0,1,0
745,house,155000,250,3,1,0,0
746,apartment block,1950000,600,5,0,0,0
748,apartment block,1950000,600,5,0,0,0
750,apartment block,2685000,400,10,0,1,0
752,apartment block,2685000,400,10,0,1,0
754,apartment block,695000,400,2,0,0,0
755,apartment block,185000,198,6,1,0,0
756,house,162500,120,3,1,0,0
757,apartment block,1250000,1500,10,0,0,0
758,apartment block,975000,1500,10,0,0,0
759,exceptional property,595000,1826,4,0,0,0
760,mansion,300000,1760,8,1,1,0
761,house,425000,1280,4,0,0,0
762,house,220000,230,3,0,1,0
763,house,269000,1780,3,0,0,0
764,exceptional property,550000,575,6,0,1,0
765,house,395000,68,4,0,0,0
767,house,370000,569,4,1,0,0
769,villa,440000,898,6,0,0,0
770,town house,219000,0,2,0,0,0
772,house,229000,174,3,0,1,0
773,house,60000,0,4,0,1,0
774,house,325000,170,4,0,1,0
776,farmhouse,260000,15160,2,0,0,0
778,house,219000,163,3,0,1,0
779,house,495000,0,4,0,1,0
780,exceptional property,2800000,502,6,0,1,0
782,apartment block,1295000,249,6,1,1,0
783,apartment block,210000,0,4,0,0,0
785,house,175500,112,3,0,0,0
787,villa,329000,900,4,0,0,0
788,house,490000,269,6,0,1,0
789,exceptional property,980000,1396,7,1,1,0
792,house,189000,200,5,0,1,0
793,house,310000,290,6,1,1,0
795,house,235000,2971,4,0,0,0
796,exceptional property,599000,0,5,0,1,0
797,house,235000,1312,5,1,0,0
799,manor house,2249000,9819,4,0,0,0
800,house,227000,619,3,1,1,0
802,house,619000,215,10,0,1,0
803,bungalow,379000,519,3,0,0,0
805,house,149000,375,2,0,1,0
807,house,239000,184,3,0,1,0
808,house,290000,305,4,1,0,0
809,house,95000,350,2,0,0,0
811,house,1750000,489,11,0,1,0
812,villa,295000,800,4,0,1,0
813,farmhouse,339000,1620,2,0,0,0
815,house,365000,813,4,0,0,0
816,house,235000,0,5,0,1,0
818,house,329000,273,5,0,1,0
820,house,795000,276,3,0,0,0
821,house,331000,310,7,0,0,0
822,house,145000,247,2,1,1,0
824,house,430000,942,5,0,0,0
826,house,299900,514,3,0,1,0
827,house,649000,124,4,0,0,0
828,villa,565000,750,5,0,1,0
829,apartment block,795000,160,0,0,0,0
830,apartment block,380000,0,5,1,1,0
831,house,160000,220,2,0,0,0
833,mansion,210000,780,3,0,1,0
834,house,139000,690,2,0,1,0
838,apartment block,3950000,0,0,0,1,0
839,house,325000,704,5,0,1,0
840,house,10000,2,3,0,0,0
841,house,525000,200,4,1,1,0
842,house,119000,400,3,1,1,0
843,house,150000,0,2,0,0,0
844,exceptional property,275000,530,4,0,0,0
845,country cottage,140000,300,2,0,1,0
847,house,447100,327,5,0,1,0
848,house,465000,2700,5,0,1,0
849,house,398000,1069,4,0,0,0
850,mansion,3400000,650,8,0,1,1
851,villa,435000,1400,4,0,1,0
852,castle,2300000,50000,8,0,0,0
854,house,173000,255,3,0,1,0
856,house,239000,454,4,0,1,0
857,house,693600,136,6,0,1,0
858,house,215000,334,3,0,1,0
859,house,395000,455,4,0,1,0
860,house,209000,218,3,1,1,0
861,house,339000,90,3,0,1,0
863,house,145000,580,3,0,0,1
864,house,150000,0,2,0,0,0
866,house,165000,0,3,0,0,0
867,villa,1695000,7124,4,0,0,0
868,house,259000,220,3,0,0,0
869,house,972000,154,6,0,1,0
870,apartment block,190000,0,3,0,1,0
871,house,105000,280,2,1,1,0
873,house,1095000,3810,5,0,1,0
874,apartment block,775000,2500,6,0,0,0
875,house,239000,0,3,0,0,0
877,exceptional property,799000,285,2,0,1,0
