,House_Type,Price,Serface,No. of Bed-Room,AtticExists,TerraceExists,SwimmingPoolExists
493,house,430000.0,751.0,3.0,1,0,0
495,house,895000.0,170.0,3.0,0,1,0
496,house,295000.0,0.0,5.0,0,1,0
498,mixed use building,196000.0,0.0,1.0,0,0,0
499,villa,675000.0,841.0,4.0,0,1,1
500,mixed use building,265000.0,0.0,0.0,0,1,0
501,house,349500.0,0.0,4.0,0,1,0
503,house,695000.0,1792.0,5.0,0,0,0
504,house,199000.0,291.0,4.0,0,0,0
507,house,159000.0,0.0,2.0,1,1,0
509,apartment block,360000.0,130.0,4.0,0,1,0
511,house,995000.0,145.0,5.0,0,1,0
513,house,325000.0,228.0,3.0,0,1,0
514,house,395000.0,228.0,4.0,0,0,0
515,villa,720000.0,631.0,4.0,1,1,0
516,house,345000.0,232.0,3.0,0,1,0
518,house,310000.0,178.0,3.0,0,1,0
519,house,340000.0,292.0,3.0,0,1,0
520,house,229000.0,570.0,3.0,1,1,0
522,mixed use building,280443.0,0.0,2.0,0,0,0
523,mixed use building,238000.0,0.0,2.0,0,0,0
524,house,399000.0,0.0,4.0,0,1,0
526,mixed use building,253000.0,0.0,2.0,0,0,0
527,house,170000.0,431.0,2.0,1,1,0
528,house,220000.0,470.0,3.0,0,1,0
529,house,399000.0,2047.0,4.0,0,0,0
531,apartment block,469000.0,201.0,5.0,0,1,0
533,house,249000.0,470.0,3.0,0,0,0
534,house,299000.0,66.0,4.0,0,0,0
536,house,150000.0,357.0,2.0,1,0,0
537,house,65000.0,0.0,2.0,0,0,0
539,house,245000.0,0.0,4.0,1,0,0
541,apartment block,580000.0,460.0,6.0,1,1,0
542,house,972000.0,154.0,6.0,0,1,0
543,house,149000.0,245.0,4.0,1,1,0
544,house,348000.0,412.0,3.0,0,0,0
545,house,359000.0,511.0,3.0,0,0,0
546,house,331000.0,312.0,3.0,0,0,0
549,mixed use building,450000.0,40.0,1.0,0,1,0
550,house,169000.0,0.0,4.0,1,1,0
552,house,215000.0,1.0,3.0,0,0,0
553,house,235000.0,157.0,2.0,0,0,0
554,house,1299000.0,8700.0,4.0,0,0,0
555,house,695000.0,4806.0,3.0,0,0,0
557,house,255000.0,395.0,3.0,0,0,0
558,exceptional property,695000.0,2982.0,5.0,0,1,0
559,exceptional property,881000.0,4170.0,5.0,1,1,0
560,house,410000.0,674.0,4.0,0,1,0
561,house,299000.0,136.0,3.0,0,0,0
563,house,280000.0,1246.0,3.0,0,0,0
564,house,1390000.0,156.0,4.0,0,1,0
565,villa,1850000.0,7492.0,5.0,0,1,1
566,exceptional property,189000.0,0.0,1.0,0,1,1
567,house,210000.0,220.0,4.0,0,1,0
569,house,1950000.0,213.0,4.0,1,1,0
571,mixed use building,172400.0,110.0,2.0,0,0,0
572,house,179000.0,0.0,3.0,1,1,0
574,house,699000.0,185.0,6.0,1,1,0
575,house,124900.0,86.0,2.0,0,0,0
576,house,599000.0,935.0,20.0,0,1,0
578,house,309000.0,435.0,5.0,1,0,0
